Time,Channel A,Channel B,Channel C
(s),(mV),(V),(mV)

0.00000000,423.38210000,0.43679260,-3.55407200
0.00200000,415.47730000,0.45266360,-3.94931100
0.00400000,407.55720000,0.46059920,-5.13348900
0.00600000,403.60480000,0.46059920,-5.13348900
0.00800000,399.63700000,0.46853470,-7.50338300
0.01000000,403.60480000,0.46853470,-7.10814400
0.01200000,399.63700000,0.46059920,-7.10814400
0.01400000,403.60480000,0.46059920,-6.71444300
0.01600000,415.47730000,0.46059920,-4.34454900
0.01800000,419.42970000,0.44472810,-3.15883400
0.02000000,439.20700000,0.43679260,-2.36835600
0.02200000,447.12720000,0.42089070,0.39370070
0.02400000,447.12720000,0.42089070,2.76359500
0.02600000,458.99970000,0.41295520,2.76359500
0.02800000,458.99970000,0.41295520,3.94931100
0.03000000,458.99970000,0.41295520,3.94931100
0.03200000,458.99970000,0.40501970,5.13348900
0.03400000,458.99970000,0.41295520,2.36835600
0.03600000,455.04730000,0.41295520,2.36835600
0.03800000,451.07960000,0.41295520,2.76359500
0.04000000,455.04730000,0.41295520,3.94931100
0.04200000,455.04730000,0.41295520,1.97465500
0.04400000,455.04730000,0.41295520,2.36835600
0.04600000,455.04730000,0.41295520,3.55407200
0.04800000,458.99970000,0.41295520,1.97465500
0.05000000,455.04730000,0.42089070,4.34454900
0.05200000,458.99970000,0.41295520,1.97465500
0.05400000,455.04730000,0.41295520,1.57941700
0.05600000,451.07960000,0.41295520,2.76359500
0.05800000,451.07960000,0.42089070,1.57941700
0.06000000,447.12720000,0.42882630,0.00000000
0.06200000,435.25460000,0.42882630,-0.39370070
0.06400000,427.34990000,0.44472810,-2.76359500
0.06600000,415.47730000,0.45266360,-2.76359500
0.06800000,407.55720000,0.45266360,-4.73825000
0.07000000,403.60480000,0.46059920,-7.50338300
0.07200000,395.68460000,0.46853470,-7.10814400
0.07399999,395.68460000,0.46853470,-6.31920500
0.07599999,399.63700000,0.46853470,-7.89862200
0.07799999,407.55720000,0.46059920,-5.92396600
0.07999999,411.50960000,0.45266360,-4.73825000
0.08199999,423.38210000,0.44472810,-2.36835600
0.08399999,435.25460000,0.43679260,-0.39370070
0.08599999,439.20700000,0.42882630,0.78893940
0.08799999,447.12720000,0.42089070,0.39370070
0.08999999,451.07960000,0.41295520,3.15883400
0.09199999,451.07960000,0.41295520,3.15883400
0.09399999,451.07960000,0.41295520,3.55407200
0.09599999,455.04730000,0.41295520,1.97465500
0.09799999,455.04730000,0.42089070,1.18417800
0.09999999,451.07960000,0.42089070,1.18417800
0.10199999,447.12720000,0.42089070,2.36835600
0.10399999,451.07960000,0.42089070,2.76359500
0.10599999,447.12720000,0.42089070,1.57941700
0.10799999,447.12720000,0.41295520,1.97465500
0.10999999,451.07960000,0.42089070,0.00000000
0.11199999,451.07960000,0.42089070,2.76359500
0.11399999,451.07960000,0.42089070,3.55407200
0.11599999,451.07960000,0.41295520,3.15883400
0.11799999,451.07960000,0.41295520,2.76359500
0.11999999,451.07960000,0.41295520,2.76359500
0.12199999,443.17480000,0.42089070,2.36835600
0.12399999,443.17480000,0.42089070,0.78893940
