52.0,0.02734,-0.02197,1.02246
52.0,0.02734,-0.02197,1.02246
60.0,-0.00098,-0.02832,1.01758
68.0,-0.0708,-0.01123,1.02148
76.0,-0.01465,-0.02148,1.02734
84.0,0.02881,-0.03027,1.021
92.0,-0.02539,-0.02295,1.02637
100.0,-0.06738,-0.00293,1.01318
108.0,0.0083,-0.04297,1.02734
116.0,-0.0148,-0.02223,1.02147
372.0,-0.01564,-0.02267,1.0217
628.0,-0.01559,-0.02217,1.02225
884.0,-0.01419,-0.02336,1.02258
1140.0,-0.01535,-0.0228,1.02156
1396.0,-0.01378,-0.02209,1.02211
1652.0,-0.01558,-0.02283,1.022
1908.0,-0.01494,-0.02275,1.0219
2164.0,-0.0146,-0.02219,1.02229
2420.0,-0.01486,-0.02203,1.02266
2676.0,-0.01512,-0.02217,1.02217
2932.0,-0.01559,-0.02225,1.02155
3188.0,-0.01518,-0.0224,1.02158
3444.0,-0.01492,-0.02292,1.02196
3700.0,-0.01566,-0.02271,1.0226
3956.0,-0.01459,-0.02284,1.02197
4212.0,-0.01549,-0.02193,1.02151
4468.0,-0.01469,-0.02258,1.02126
4724.0,-0.01514,-0.02206,1.02199
4980.0,-0.01556,-0.02173,1.02153
5236.0,-0.01546,-0.02196,1.02148
5492.0,-0.01526,-0.02179,1.02208
5748.0,-0.01508,-0.02235,1.02173
6004.0,-0.01544,-0.02272,1.02173
6260.0,-0.01511,-0.02214,1.02187
6516.0,-0.01508,-0.02278,1.02126
6772.0,-0.01581,-0.02228,1.02225
7028.0,-0.01544,-0.0226,1.02242
7284.0,-0.01534,-0.02321,1.02171
7540.0,-0.01569,-0.02216,1.02173
7796.0,-0.01457,-0.0235,1.02173
8052.0,-0.01527,-0.02245,1.02132
8308.0,-0.01489,-0.02234,1.02274
8564.0,-0.01529,-0.02234,1.02116
8820.0,-0.01454,-0.02281,1.02164
9076.0,-0.01512,-0.0231,1.02141
9332.0,-0.01544,-0.02289,1.02243
9588.0,-0.0153,-0.02287,1.0213
9844.0,-0.01595,-0.02271,1.02226
10100.0,-0.01494,-0.02275,1.02222
10356.0,-0.01582,-0.02316,1.02232
10612.0,-0.0159,-0.02229,1.0213
10868.0,-0.01495,-0.02275,1.02167
11124.0,-0.01642,-0.02237,1.02155
11380.0,-0.01503,-0.02258,1.02129
11636.0,-0.01437,-0.0237,1.02208
11892.0,-0.0154,-0.02306,1.02257
12148.0,-0.01486,-0.02301,1.02243
12404.0,-0.01474,-0.02348,1.02246
12660.0,-0.01501,-0.02254,1.02248
12916.0,-0.01602,-0.02289,1.02187
13172.0,-0.01534,-0.02301,1.02159
13428.0,-0.01527,-0.02255,1.02135
13684.0,-0.01628,-0.02248,1.02179
13940.0,-0.01469,-0.02255,1.02245
14196.0,-0.01593,-0.02322,1.02159
14452.0,-0.01624,-0.02298,1.02448
14708.0,-0.01468,-0.02243,1.01402
14964.0,-0.0144,-0.01956,1.02802
15220.0,-0.01433,-0.02092,1.02777
15476.0,-0.01563,-0.02339,1.00533
