Time,Channel A,Channel B,Channel C
(s),(mV),(V),(mV)

0.00000000,427.34990000,0.43679260,-1.18417800
0.01000000,427.34990000,0.44472810,-3.15883400
0.02000000,431.30220000,0.43679260,-1.18417800
0.03000000,439.20700000,0.42882630,0.78893940
0.04000000,435.25460000,0.42882630,-0.78893940
0.05000000,431.30220000,0.42882630,-0.39370070
0.06000000,427.34990000,0.43679260,-0.39370070
0.07000000,419.42970000,0.43679260,-3.94931100
0.08000000,427.34990000,0.43679260,-0.78893940
0.09000000,435.25460000,0.42882630,-0.39370070
0.10000000,439.20700000,0.42882630,-0.39370070
0.11000000,439.20700000,0.42882630,0.00000000
0.12000000,431.30220000,0.43679260,-0.39370070
0.13000000,423.38210000,0.44472810,-1.57941700
0.14000000,423.38210000,0.43679260,-3.55407200
0.15000000,431.30220000,0.42882630,0.78893940
0.16000000,435.25460000,0.42882630,-0.39370070
0.17000000,439.20700000,0.42882630,0.78893940
0.18000000,435.25460000,0.43679260,-0.78893940
0.19000000,423.38210000,0.43679260,-2.76359500
0.20000000,423.38210000,0.43679260,-1.97465500
0.21000000,435.25460000,0.43679260,-1.97465500
0.22000000,435.25460000,0.42882630,0.00000000
0.22999999,439.20700000,0.43679260,-1.18417800
0.23999999,435.25460000,0.42882630,0.39370070
0.24999999,431.30220000,0.43679260,-1.57941700
0.25999999,427.34990000,0.44472810,-1.97465500
0.26999999,431.30220000,0.43679260,-1.18417800
0.27999999,435.25460000,0.42882630,-0.39370070
0.28999999,443.17480000,0.42882630,0.00000000
0.29999999,439.20700000,0.42882630,-1.18417800
0.30999999,431.30220000,0.42882630,0.00000000
0.31999999,423.38210000,0.43679260,-0.78893940
0.32999999,423.38210000,0.43679260,-1.18417800
0.33999999,435.25460000,0.43679260,0.78893940
0.34999999,439.20700000,0.42882630,0.00000000
0.35999999,435.25460000,0.42882630,0.39370070
0.36999999,435.25460000,0.42882630,-0.39370070
0.37999999,427.34990000,0.43679260,-2.36835600
0.38999999,423.38210000,0.44472810,-2.36835600
0.39999999,431.30220000,0.43679260,-0.78893940
0.40999999,435.25460000,0.42882630,0.00000000
0.41999999,439.20700000,0.42882630,0.39370070
0.42999999,431.30220000,0.42882630,0.39370070
0.43999999,431.30220000,0.43679260,-1.57941700
0.44999999,427.34990000,0.44472810,-2.76359500
0.45999999,431.30220000,0.43679260,-1.18417800
0.46999999,439.20700000,0.42882630,-0.39370070
0.47999999,435.25460000,0.42882630,0.00000000
0.48999999,435.25460000,0.42089070,-1.18417800
0.49999999,431.30220000,0.43679260,-0.39370070
0.50999999,423.38210000,0.44472810,-3.15883400
0.51999999,427.34990000,0.44472810,-3.15883400
0.52999999,435.25460000,0.42882630,0.78893940
0.53999999,439.20700000,0.42882630,-0.39370070
0.54999999,439.20700000,0.42882630,-0.78893940
0.55999999,435.25460000,0.43679260,0.00000000
0.56999999,423.38210000,0.43679260,-2.76359500
0.57999999,423.38210000,0.43679260,-1.97465500
0.58999999,431.30220000,0.42882630,-1.57941700
0.59999999,435.25460000,0.42882630,0.00000000
0.60999999,435.25460000,0.42882630,-0.39370070
0.61999999,435.25460000,0.42882630,0.78893940
0.62999999,431.30220000,0.43679260,-1.97465500
0.63999999,427.34990000,0.44472810,-1.57941700
0.64999999,423.38210000,0.43679260,-2.36835600
0.65999999,431.30220000,0.42089070,0.39370070
0.66999999,439.20700000,0.42882630,0.00000000
0.67999998,443.17480000,0.42882630,-0.39370070
0.68999998,435.25460000,0.43679260,-1.18417800
0.69999998,427.34990000,0.44472810,-2.76359500
0.70999998,427.34990000,0.44472810,-1.57941700
0.71999998,435.25460000,0.43679260,0.39370070
0.72999998,435.25460000,0.42882630,1.57941700
0.73999998,435.25460000,0.42882630,-1.18417800
0.74999998,439.20700000,0.43679260,-0.39370070
0.75999998,427.34990000,0.43679260,-3.15883400
0.76999998,423.38210000,0.44472810,-1.57941700
0.77999998,435.25460000,0.43679260,-1.18417800
0.78999998,439.20700000,0.42882630,-1.57941700
0.79999998,435.25460000,0.42882630,-0.39370070
0.80999998,435.25460000,0.42882630,0.78893940
0.81999998,431.30220000,0.43679260,-0.78893940
0.82999998,423.38210000,0.44472810,-1.97465500
0.83999998,431.30220000,0.44472810,-0.78893940
0.84999998,443.17480000,0.43679260,-0.78893940
0.85999998,439.20700000,0.42882630,0.00000000
0.86999998,435.25460000,0.42882630,-0.39370070
0.87999998,431.30220000,0.42882630,-0.78893940
0.88999998,427.34990000,0.44472810,-0.39370070
0.89999998,427.34990000,0.44472810,-3.94931100
0.90999998,435.25460000,0.42882630,-0.39370070
0.91999998,439.20700000,0.42882630,1.57941700
0.92999998,439.20700000,0.43679260,-1.18417800
0.93999998,435.25460000,0.43679260,0.00000000
0.94999998,427.34990000,0.43679260,-2.76359500
0.95999998,419.42970000,0.43679260,-1.97465500
0.96999998,431.30220000,0.42882630,-0.39370070
0.97999998,435.25460000,0.42882630,0.39370070
0.98999998,435.25460000,0.42882630,-0.78893940
0.99999998,435.25460000,0.42882630,0.39370070
1.00999998,427.34990000,0.43679260,-1.18417800
1.01999998,419.42970000,0.44472810,-1.97465500
1.02999998,431.30220000,0.43679260,-2.76359500
