Time,Channel A,Channel B,Channel C
(s),(mV),(V),(mV)

0.00000000,411.50960000,0.45266360,-5.92396600
0.01000000,411.50960000,0.45266360,-6.31920500
0.02000000,407.55720000,0.46059920,-3.94931100
0.03000000,411.50960000,0.45266360,-5.52872800
0.04000000,411.50960000,0.45266360,-3.94931100
0.05000000,415.47730000,0.45266360,-3.94931100
0.06000000,411.50960000,0.45266360,-5.92396600
0.07000000,415.47730000,0.46059920,-4.34454900
0.08000000,411.50960000,0.45266360,-3.55407200
0.09000000,411.50960000,0.44472810,-5.13348900
0.10000000,411.50960000,0.45266360,-4.34454900
0.11000000,411.50960000,0.45266360,-4.34454900
0.12000000,411.50960000,0.44472810,-5.13348900
0.13000000,415.47730000,0.45266360,-3.94931100
0.14000000,415.47730000,0.45266360,-1.97465500
0.15000000,415.47730000,0.44472810,-4.34454900
0.16000000,415.47730000,0.45266360,-4.73825000
0.17000000,415.47730000,0.45266360,-4.73825000
0.18000000,415.47730000,0.45266360,-5.13348900
0.19000000,415.47730000,0.44472810,-4.34454900
0.20000000,419.42970000,0.45266360,-3.94931100
0.21000000,415.47730000,0.45266360,-2.36835600
0.22000000,415.47730000,0.45266360,-4.34454900
0.22999999,415.47730000,0.45266360,-3.94931100
0.23999999,415.47730000,0.44472810,-3.15883400
0.24999999,419.42970000,0.45266360,-4.73825000
0.25999999,415.47730000,0.44472810,-3.55407200
0.26999999,415.47730000,0.44472810,-6.31920500
0.27999999,411.50960000,0.44472810,-4.34454900
0.28999999,419.42970000,0.45266360,-4.34454900
0.29999999,419.42970000,0.45266360,-3.15883400
0.30999999,411.50960000,0.44472810,-3.15883400
0.31999999,415.47730000,0.45266360,-3.94931100
0.32999999,411.50960000,0.44472810,-5.52872800
0.33999999,415.47730000,0.44472810,-3.55407200
0.34999999,411.50960000,0.44472810,-3.55407200
0.35999999,415.47730000,0.45266360,-4.34454900
0.36999999,419.42970000,0.45266360,-3.94931100
0.37999999,415.47730000,0.45266360,-3.94931100
0.38999999,415.47730000,0.45266360,-4.34454900
0.39999999,419.42970000,0.44472810,-4.34454900
0.40999999,411.50960000,0.44472810,-5.13348900
0.41999999,419.42970000,0.45266360,-4.73825000
0.42999999,419.42970000,0.45266360,-3.94931100
0.43999999,411.50960000,0.44472810,-5.13348900
0.44999999,415.47730000,0.44472810,-3.55407200
0.45999999,415.47730000,0.45266360,-3.94931100
0.46999999,415.47730000,0.45266360,-2.76359500
0.47999999,419.42970000,0.45266360,-3.94931100
0.48999999,415.47730000,0.44472810,-4.73825000
0.49999999,419.42970000,0.45266360,-4.34454900
0.50999999,419.42970000,0.45266360,-4.34454900
0.51999999,415.47730000,0.45266360,-2.76359500
0.52999999,415.47730000,0.45266360,-3.94931100
0.53999999,423.38210000,0.44472810,-3.94931100
0.54999999,415.47730000,0.44472810,-3.94931100
0.55999999,423.38210000,0.45266360,-3.15883400
0.56999999,419.42970000,0.45266360,-2.76359500
0.57999999,419.42970000,0.45266360,-4.34454900
0.58999999,415.47730000,0.44472810,-3.94931100
0.59999999,419.42970000,0.44472810,-3.15883400
0.60999999,419.42970000,0.45266360,-4.34454900
0.61999999,411.50960000,0.44472810,-5.13348900
0.62999999,411.50960000,0.44472810,-4.34454900
0.63999999,411.50960000,0.45266360,-2.36835600
0.64999999,415.47730000,0.44472810,-1.57941700
0.65999999,411.50960000,0.44472810,-3.55407200
0.66999999,415.47730000,0.45266360,-4.73825000
0.67999998,415.47730000,0.45266360,-4.73825000
0.68999998,415.47730000,0.45266360,-4.34454900
0.69999998,419.42970000,0.45266360,-4.73825000
0.70999998,415.47730000,0.45266360,-4.34454900
0.71999998,415.47730000,0.45266360,-4.73825000
0.72999998,419.42970000,0.45266360,-3.55407200
0.73999998,411.50960000,0.44472810,-3.15883400
0.74999998,419.42970000,0.45266360,-2.36835600
0.75999998,419.42970000,0.45266360,-3.55407200
0.76999998,415.47730000,0.44472810,-4.34454900
0.77999998,415.47730000,0.44472810,-3.94931100
0.78999998,411.50960000,0.44472810,-3.94931100
0.79999998,419.42970000,0.44472810,-3.94931100
0.80999998,415.47730000,0.44472810,-3.94931100
0.81999998,415.47730000,0.44472810,-3.15883400
0.82999998,415.47730000,0.44472810,-4.73825000
0.83999998,419.42970000,0.45266360,-4.34454900
0.84999998,415.47730000,0.44472810,-3.15883400
0.85999998,415.47730000,0.44472810,-4.73825000
0.86999998,415.47730000,0.44472810,-3.94931100
0.87999998,419.42970000,0.44472810,-5.13348900
0.88999998,415.47730000,0.44472810,-3.55407200
0.89999998,415.47730000,0.45266360,-4.34454900
0.90999998,411.50960000,0.45266360,-4.34454900
0.91999998,419.42970000,0.45266360,-4.73825000
0.92999998,415.47730000,0.44472810,-4.34454900
0.93999998,415.47730000,0.45266360,-3.94931100
0.94999998,415.47730000,0.44472810,-4.73825000
0.95999998,419.42970000,0.45266360,-3.94931100
0.96999998,415.47730000,0.44472810,-3.15883400
0.97999998,415.47730000,0.44472810,-3.15883400
0.98999998,419.42970000,0.45266360,-4.34454900
0.99999998,415.47730000,0.44472810,-4.34454900
1.00999998,419.42970000,0.44472810,-3.55407200
1.01999998,415.47730000,0.44472810,-3.15883400
1.02999998,411.50960000,0.44472810,-4.34454900
