"","Channel A Ave. (mV)","Channel B Ave. (mV)","Channel C Ave. (mV)","Channel D Ave. (mV)"
"00:00:00.000","70.559","59.084","156.621","243.324"
"00:00:00.001","70.559","51.210","156.621","243.324"
"00:00:00.002","70.559","43.336","156.621","243.324"
"00:00:00.003","70.559","39.399","156.621","243.324"
"00:00:00.004","74.480","43.336","156.621","243.324"
"00:00:00.005","74.480","43.336","156.621","243.324"
"00:00:00.006","70.559","39.399","156.621","243.324"
"00:00:00.007","74.480","39.399","156.621","243.324"
"00:00:00.008","74.480","39.399","156.621","243.324"
"00:00:00.009","70.559","39.399","156.621","243.324"
"00:00:00.010","70.559","39.399","156.621","243.324"
"00:00:00.011","70.559","39.399","156.621","243.324"
"00:00:00.012","70.559","39.399","156.621","243.324"
"00:00:00.013","74.480","39.399","156.621","243.324"
"00:00:00.014","78.402","43.336","156.621","243.324"
"00:00:00.015","78.402","47.273","156.621","243.324"
"00:00:00.016","74.480","43.336","156.621","243.324"
"00:00:00.017","74.480","39.399","156.621","243.324"
"00:00:00.018","74.480","39.399","156.621","243.324"
"00:00:00.019","74.480","39.399","156.621","243.324"
"00:00:00.020","74.480","39.399","156.621","243.324"
"00:00:00.021","74.480","39.399","156.621","243.324"
"00:00:00.022","74.480","39.399","156.621","243.324"
"00:00:00.023","70.559","39.399","156.621","243.324"
"00:00:00.024","74.480","39.399","156.621","243.324"
"00:00:00.025","74.480","39.399","156.621","243.324"
"00:00:00.026","74.480","39.399","156.621","243.324"
"00:00:00.027","74.480","39.399","152.715","243.324"
"00:00:00.028","74.480","39.399","152.715","243.324"
"00:00:00.029","78.402","39.399","156.621","243.324"
"00:00:00.030","78.402","39.399","156.621","243.324"
"00:00:00.031","78.402","39.399","156.621","243.324"
"00:00:00.032","74.480","39.399","156.621","243.324"
"00:00:00.033","74.480","39.399","156.621","243.324"
"00:00:00.034","78.402","39.399","156.621","243.324"
"00:00:00.035","74.480","39.399","156.621","243.324"
"00:00:00.036","74.480","39.399","156.621","243.324"
"00:00:00.037","78.402","39.399","156.621","243.324"
"00:00:00.038","74.480","39.399","156.621","243.324"
"00:00:00.039","74.480","39.399","156.621","243.324"
"00:00:00.040","74.480","43.336","156.621","243.324"
"00:00:00.041","74.480","43.336","156.621","243.324"
"00:00:00.042","74.480","39.399","156.621","243.324"
"00:00:00.043","70.559","39.399","156.621","243.324"
"00:00:00.044","70.559","39.399","152.715","243.324"
"00:00:00.045","70.559","39.399","152.715","243.324"
"00:00:00.046","70.559","39.399","156.621","243.324"
"00:00:00.047","70.559","35.447","152.715","243.324"
"00:00:00.048","70.559","35.447","152.715","243.324"
"00:00:00.049","74.480","39.399","156.621","243.324"
"00:00:00.050","74.480","39.399","156.621","243.324"
"00:00:00.051","70.559","39.399","152.715","243.324"
"00:00:00.052","70.559","39.399","152.715","243.324"
"00:00:00.053","70.559","39.399","156.621","243.324"
"00:00:00.054","70.559","43.336","156.621","243.324"
"00:00:00.055","70.559","43.336","156.621","243.324"
"00:00:00.056","74.480","39.399","152.715","243.324"
"00:00:00.057","74.480","39.399","152.715","243.324"
"00:00:00.058","74.480","39.399","156.621","243.324"
"00:00:00.059","78.402","39.399","156.621","243.324"
"00:00:00.060","74.480","39.399","152.715","243.324"
"00:00:00.061","74.480","39.399","148.808","243.324"
"00:00:00.062","78.402","39.399","152.715","243.324"
"00:00:00.063","74.480","39.399","156.621","243.324"
"00:00:00.064","70.559","39.399","156.621","247.261"
"00:00:00.065","74.480","39.399","156.621","247.261"
"00:00:00.066","78.402","39.399","156.621","243.324"
"00:00:00.067","78.402","39.399","156.621","243.324"
"00:00:00.068","74.480","39.399","156.621","243.324"
"00:00:00.069","70.559","39.399","156.621","243.324"
"00:00:00.070","70.559","39.399","156.621","243.324"
"00:00:00.071","74.480","39.399","156.621","243.324"
"00:00:00.072","74.480","43.336","156.621","243.324"
"00:00:00.073","74.480","47.273","156.621","243.324"
"00:00:00.074","78.402","43.336","156.621","243.324"
"00:00:00.075","74.480","39.399","156.621","247.261"
"00:00:00.076","70.559","39.399","156.621","247.261"
"00:00:00.077","70.559","39.399","156.621","243.324"
"00:00:00.078","74.480","39.399","156.621","243.324"
"00:00:00.079","74.480","39.399","156.621","243.324"
"00:00:00.080","74.480","39.399","156.621","243.324"
"00:00:00.081","74.480","39.399","156.621","243.324"
"00:00:00.082","70.559","39.399","156.621","243.324"
"00:00:00.083","70.559","39.399","156.621","243.324"
"00:00:00.084","74.480","39.399","156.621","243.324"
"00:00:00.085","74.480","39.399","156.621","243.324"
"00:00:00.086","74.480","39.399","156.621","243.324"
"00:00:00.087","78.402","39.399","156.621","243.324"
"00:00:00.088","78.402","43.336","156.621","243.324"
"00:00:00.089","78.402","47.273","156.621","243.324"
"00:00:00.090","74.480","43.336","156.621","243.324"
"00:00:00.091","74.480","39.399","156.621","243.324"
"00:00:00.092","74.480","39.399","156.621","243.324"
"00:00:00.093","74.480","39.399","156.621","243.324"
"00:00:00.094","74.480","39.399","156.621","243.324"
"00:00:00.095","70.559","39.399","156.621","243.324"
"00:00:00.096","70.559","39.399","156.621","243.324"
"00:00:00.097","74.480","39.399","152.715","243.324"
"00:00:00.098","74.480","39.399","152.715","243.324"
"00:00:00.099","74.480","39.399","156.621","243.324"
"00:00:00.100","78.402","39.399","156.621","243.324"
"00:00:00.101","78.402","39.399","156.621","243.324"
"00:00:00.102","74.480","39.399","156.621","243.324"
"00:00:00.103","70.559","39.399","156.621","243.324"
"00:00:00.104","74.480","43.336","156.621","243.324"
"00:00:00.105","78.402","43.336","156.621","243.324"
"00:00:00.106","78.402","39.399","156.621","243.324"
"00:00:00.107","78.402","39.399","156.621","243.324"
"00:00:00.108","74.480","39.399","156.621","243.324"
"00:00:00.109","74.480","39.399","156.621","243.324"
"00:00:00.110","74.480","39.399","156.621","243.324"
"00:00:00.111","70.559","39.399","156.621","243.324"
"00:00:00.112","70.559","43.336","156.621","243.324"
"00:00:00.113","74.480","43.336","156.621","243.324"
"00:00:00.114","78.402","39.399","156.621","243.324"
"00:00:00.115","78.402","39.399","156.621","243.324"
"00:00:00.116","78.402","39.399","156.621","243.324"
"00:00:00.117","78.402","39.399","156.621","243.324"
"00:00:00.118","78.402","43.336","156.621","243.324"
"00:00:00.119","78.402","43.336","156.621","247.261"
"00:00:00.120","78.402","43.336","156.621","247.261"
"00:00:00.121","78.402","43.336","156.621","243.324"
"00:00:00.122","74.480","39.399","156.621","243.324"
"00:00:00.123","70.559","39.399","156.621","243.324"
"00:00:00.124","74.480","39.399","156.621","243.324"
"00:00:00.125","74.480","39.399","156.621","243.324"
"00:00:00.126","74.480","39.399","156.621","243.324"
"00:00:00.127","78.402","39.399","156.621","243.324"
"00:00:00.128","78.402","39.399","156.621","243.324"
"00:00:00.129","74.480","39.399","152.715","243.324"
"00:00:00.130","74.480","39.399","152.715","243.324"
"00:00:00.131","74.480","39.399","156.621","243.324"
"00:00:00.132","70.559","39.399","156.621","243.324"
"00:00:00.133","74.480","39.399","156.621","243.324"
"00:00:00.134","74.480","39.399","156.621","243.324"
