Device : ;PAX1000IR2/M
Serial Number : ;M00534359
Firmware Version : ;1.0.13
Software Version : ;1.3.1907.145
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2023-05-05 15:34:07.15;0.00:00:00:051;-0.50;0.85;-0.16;0.04131;-0.02194;0.03777;-0.007298;60.07;-4.74;107.20;17.67;105.74;0.04131;0.04429;-0.002975;-13.839;-13.537;-99.990;0.25;-10.94;
2023-05-05 15:34:07.20;0.00:00:00:101;-0.50;0.85;-0.16;0.04139;-0.02205;0.03774;-0.007242;60.15;-4.70;107.05;17.50;105.61;0.04139;0.0443;-0.002917;-13.831;-13.536;-99.990;0.25;-10.86;
2023-05-05 15:34:07.25;0.00:00:00:148;-0.50;0.85;-0.16;0.04135;-0.02206;0.03763;-0.007293;60.19;-4.75;106.97;17.64;105.51;0.04135;0.04423;-0.002883;-13.836;-13.543;-99.990;0.25;-10.97;
2023-05-05 15:34:07.30;0.00:00:00:196;-0.50;0.85;-0.16;0.04132;-0.02206;0.03776;-0.007303;60.15;-4.74;107.30;17.68;105.84;0.04132;0.04434;-0.003017;-13.839;-13.533;-99.990;0.25;-10.95;
2023-05-05 15:34:07.35;0.00:00:00:248;-0.50;0.85;-0.17;0.04128;-0.02213;0.03775;-0.007361;60.19;-4.77;107.50;17.83;106.02;0.04128;0.04438;-0.003098;-13.843;-13.528;-99.990;0.25;-11.03;
2023-05-05 15:34:07.40;0.00:00:00:297;-0.50;0.85;-0.16;0.04137;-0.02206;0.03777;-0.007285;60.14;-4.73;107.18;17.61;105.73;0.04137;0.04434;-0.002972;-13.834;-13.532;-99.990;0.25;-10.92;
2023-05-05 15:34:07.45;0.00:00:00:352;-0.50;0.85;-0.17;0.04139;-0.02207;0.03786;-0.007333;60.12;-4.75;107.34;17.71;105.87;0.04139;0.04443;-0.003038;-13.831;-13.523;-99.990;0.25;-10.96;
2023-05-05 15:34:07.52;0.00:00:00:414;-0.50;0.85;-0.16;0.04129;-0.02214;0.03762;-0.007235;60.24;-4.71;107.17;17.52;105.72;0.04129;0.04425;-0.002959;-13.842;-13.541;-99.990;0.25;-10.89;
2023-05-05 15:34:07.57;0.00:00:00:462;-0.50;0.85;-0.16;0.04133;-0.02207;0.03773;-0.007268;60.16;-4.72;107.20;17.59;105.75;0.04133;0.04431;-0.002975;-13.837;-13.535;-99.990;0.25;-10.91;
2023-05-05 15:34:07.61;0.00:00:00:510;-0.50;0.85;-0.16;0.04141;-0.02202;0.03781;-0.007235;60.11;-4.69;107.11;17.47;105.68;0.04141;0.04435;-0.002944;-13.829;-13.531;-99.990;0.25;-10.83;
2023-05-05 15:34:07.68;0.00:00:00:573;-0.50;0.85;-0.16;0.04138;-0.02202;0.03778;-0.007281;60.12;-4.73;107.14;17.60;105.69;0.04138;0.04433;-0.002954;-13.832;-13.533;-99.990;0.25;-10.91;
2023-05-05 15:34:07.72;0.00:00:00:621;-0.50;0.85;-0.16;0.0414;-0.02212;0.03774;-0.007203;60.19;-4.68;107.09;17.40;105.66;0.0414;0.04433;-0.002934;-13.830;-13.533;-99.990;0.25;-10.81;
2023-05-05 15:34:07.78;0.00:00:00:673;-0.50;0.85;-0.16;0.04142;-0.02204;0.03782;-0.007279;60.12;-4.72;107.12;17.57;105.67;0.04142;0.04437;-0.002949;-13.828;-13.529;-99.990;0.25;-10.90;
2023-05-05 15:34:07.83;0.00:00:00:722;-0.50;0.85;-0.17;0.04134;-0.02208;0.03773;-0.007324;60.17;-4.76;107.22;17.72;105.75;0.04134;0.04433;-0.002986;-13.836;-13.533;-99.990;0.25;-10.98;
2023-05-05 15:34:07.87;0.00:00:00:768;-0.50;0.85;-0.16;0.04132;-0.022;0.03768;-0.007254;60.14;-4.72;107.03;17.56;105.59;0.04132;0.04423;-0.002907;-13.838;-13.543;-99.990;0.25;-10.90;
2023-05-05 15:34:07.92;0.00:00:00:817;-0.50;0.85;-0.16;0.04123;-0.02207;0.03768;-0.007236;60.18;-4.70;107.36;17.55;105.92;0.04123;0.04427;-0.003035;-13.848;-13.539;-99.990;0.25;-10.87;
2023-05-05 15:34:07.97;0.00:00:00:867;-0.50;0.85;-0.16;0.04122;-0.02212;0.0376;-0.007168;60.23;-4.67;107.26;17.39;105.85;0.04122;0.04421;-0.002994;-13.849;-13.545;-99.990;0.25;-10.79;
2023-05-05 15:34:08.04;0.00:00:00:936;-0.50;0.85;-0.17;0.04143;-0.02214;0.03745;-0.007302;60.29;-4.76;106.49;17.63;105.02;0.04143;0.04411;-0.002688;-13.827;-13.554;-99.990;0.25;-11.03;
2023-05-05 15:34:08.09;0.00:00:00:983;-0.50;0.85;-0.16;0.04128;-0.02217;0.03765;-0.007284;60.25;-4.73;107.29;17.65;105.83;0.04128;0.04429;-0.003011;-13.842;-13.537;-99.990;0.25;-10.95;
2023-05-05 15:34:08.13;0.00:00:01:029;-0.50;0.85;-0.16;0.04138;-0.02216;0.03778;-0.007218;60.20;-4.68;107.26;17.44;105.84;0.04138;0.04439;-0.003006;-13.832;-13.527;-99.990;0.25;-10.82;
2023-05-05 15:34:08.18;0.00:00:01:076;-0.50;0.85;-0.16;0.04136;-0.02207;0.03772;-0.00724;60.17;-4.70;107.12;17.51;105.68;0.04136;0.0443;-0.002943;-13.834;-13.536;-99.990;0.25;-10.86;
2023-05-05 15:34:08.23;0.00:00:01:124;-0.50;0.85;-0.16;0.04136;-0.02205;0.03778;-0.007233;60.13;-4.69;107.19;17.49;105.76;0.04136;0.04434;-0.002976;-13.834;-13.532;-99.990;0.25;-10.84;
2023-05-05 15:34:08.27;0.00:00:01:171;-0.50;0.85;-0.16;0.0414;-0.022;0.03771;-0.007262;60.13;-4.72;106.92;17.54;105.47;0.0414;0.04426;-0.002864;-13.830;-13.540;-99.990;0.25;-10.90;
2023-05-05 15:34:08.32;0.00:00:01:218;-0.50;0.85;-0.16;0.04135;-0.02206;0.03774;-0.007238;60.16;-4.70;107.14;17.50;105.70;0.04135;0.04431;-0.002952;-13.835;-13.535;-99.990;0.25;-10.86;
