Device : ;PAX1000IR2/M
Serial Number : ;M00534359
Firmware Version : ;1.0.13
Software Version : ;1.3.1907.145
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2023-05-05 15:27:24.64;0.00:00:00:049;-0.47;0.86;-0.23;0.04162;-0.02075;0.03816;-0.01014;59.27;-6.57;107.17;24.37;104.36;0.04162;0.0446;-0.002984;-13.807;-13.506;-99.990;0.27;-14.89;
2023-05-05 15:27:24.69;0.00:00:00:102;-0.46;0.86;-0.23;0.04165;-0.02066;0.03832;-0.01021;59.16;-6.60;107.37;24.52;104.53;0.04165;0.04472;-0.003068;-13.804;-13.495;-99.990;0.27;-14.92;
2023-05-05 15:27:24.74;0.00:00:00:149;-0.46;0.86;-0.23;0.04168;-0.02075;0.03835;-0.01011;59.21;-6.53;107.39;24.26;104.61;0.04168;0.04476;-0.003079;-13.800;-13.491;-99.990;0.27;-14.77;
2023-05-05 15:27:24.79;0.00:00:00:196;-0.46;0.86;-0.23;0.04163;-0.02073;0.03832;-0.01021;59.21;-6.59;107.49;24.52;104.66;0.04163;0.04475;-0.00312;-13.806;-13.492;-99.990;0.27;-14.92;
2023-05-05 15:27:24.83;0.00:00:00:243;-0.47;0.86;-0.23;0.04164;-0.0208;0.03828;-0.01009;59.26;-6.52;107.40;24.22;104.63;0.04164;0.04472;-0.003079;-13.805;-13.495;-99.990;0.27;-14.76;
2023-05-05 15:27:24.90;0.00:00:00:309;-0.46;0.86;-0.23;0.04173;-0.02078;0.03837;-0.01012;59.22;-6.53;107.34;24.24;104.57;0.04173;0.0448;-0.003063;-13.795;-13.487;-99.990;0.27;-14.77;
2023-05-05 15:27:24.96;0.00:00:00:366;-0.46;0.86;-0.23;0.04164;-0.02057;0.0384;-0.0102;59.09;-6.59;107.43;24.49;104.60;0.04164;0.04474;-0.003095;-13.805;-13.493;-99.990;0.27;-14.88;
2023-05-05 15:27:25.00;0.00:00:00:413;-0.46;0.86;-0.23;0.0416;-0.02076;0.03821;-0.01014;59.26;-6.56;107.34;24.37;104.54;0.0416;0.04466;-0.003054;-13.809;-13.501;-99.990;0.27;-14.86;
2023-05-05 15:27:25.05;0.00:00:00:461;-0.46;0.86;-0.23;0.04165;-0.02076;0.03839;-0.01019;59.20;-6.57;107.60;24.46;104.79;0.04165;0.04481;-0.003167;-13.804;-13.486;-99.990;0.27;-14.86;
2023-05-05 15:27:25.10;0.00:00:00:514;-0.46;0.86;-0.23;0.04161;-0.02078;0.03824;-0.01012;59.26;-6.54;107.39;24.32;104.60;0.04161;0.04468;-0.003076;-13.808;-13.499;-99.990;0.27;-14.82;
2023-05-05 15:27:25.15;0.00:00:00:561;-0.46;0.86;-0.22;0.04163;-0.0208;0.03831;-0.01006;59.25;-6.50;107.47;24.17;104.71;0.04163;0.04474;-0.003109;-13.806;-13.493;-99.990;0.27;-14.72;
2023-05-05 15:27:25.20;0.00:00:00:611;-0.46;0.86;-0.23;0.04172;-0.02067;0.03844;-0.01024;59.14;-6.60;107.45;24.54;104.61;0.04172;0.04483;-0.003108;-13.797;-13.485;-99.990;0.27;-14.91;
2023-05-05 15:27:25.25;0.00:00:00:661;-0.46;0.86;-0.23;0.04176;-0.02067;0.03835;-0.01015;59.16;-6.56;107.12;24.30;104.32;0.04176;0.04473;-0.002972;-13.792;-13.494;-99.990;0.27;-14.82;
2023-05-05 15:27:25.30;0.00:00:00:712;-0.46;0.86;-0.23;0.04173;-0.02064;0.0385;-0.01026;59.10;-6.61;107.52;24.58;104.67;0.04173;0.04487;-0.003138;-13.796;-13.481;-99.990;0.27;-14.92;
2023-05-05 15:27:25.35;0.00:00:00:761;-0.46;0.86;-0.23;0.04168;-0.02072;0.03838;-0.01016;59.18;-6.56;107.44;24.38;104.64;0.04168;0.04479;-0.003103;-13.800;-13.488;-99.990;0.27;-14.83;
2023-05-05 15:27:25.40;0.00:00:00:810;-0.46;0.86;-0.23;0.04162;-0.02069;0.03819;-0.01013;59.22;-6.57;107.16;24.34;104.35;0.04162;0.0446;-0.002979;-13.807;-13.507;-99.990;0.27;-14.86;
2023-05-05 15:27:25.45;0.00:00:00:860;-0.46;0.86;-0.23;0.04169;-0.02055;0.0384;-0.01018;59.08;-6.58;107.30;24.42;104.48;0.04169;0.04473;-0.003041;-13.800;-13.494;-99.990;0.27;-14.85;
2023-05-05 15:27:25.51;0.00:00:00:920;-0.46;0.86;-0.23;0.04162;-0.02068;0.03831;-0.01012;59.18;-6.54;107.39;24.31;104.60;0.04162;0.0447;-0.003077;-13.807;-13.497;-99.990;0.27;-14.80;
2023-05-05 15:27:25.57;0.00:00:00:975;-0.46;0.86;-0.23;0.04162;-0.02066;0.03832;-0.0101;59.17;-6.53;107.37;24.26;104.60;0.04162;0.04469;-0.003069;-13.807;-13.498;-99.990;0.27;-14.76;
2023-05-05 15:27:25.61;0.00:00:01:022;-0.46;0.86;-0.23;0.04162;-0.02077;0.03836;-0.01017;59.22;-6.56;107.62;24.44;104.81;0.04162;0.04479;-0.00317;-13.807;-13.488;-99.990;0.27;-14.85;
2023-05-05 15:27:25.66;0.00:00:01:069;-0.46;0.86;-0.23;0.0417;-0.02064;0.03831;-0.01019;59.16;-6.59;107.16;24.43;104.34;0.0417;0.04469;-0.002986;-13.798;-13.498;-99.990;0.27;-14.89;
2023-05-05 15:27:25.71;0.00:00:01:116;-0.46;0.86;-0.23;0.04169;-0.02067;0.03843;-0.01022;59.14;-6.59;107.50;24.51;104.66;0.04169;0.04482;-0.003125;-13.800;-13.486;-99.990;0.27;-14.89;
2023-05-05 15:27:25.75;0.00:00:01:163;-0.46;0.86;-0.23;0.04161;-0.02079;0.03832;-0.01015;59.24;-6.55;107.56;24.39;104.75;0.04161;0.04476;-0.003144;-13.808;-13.491;-99.990;0.27;-14.84;
2023-05-05 15:27:25.80;0.00:00:01:210;-0.46;0.86;-0.23;0.04167;-0.02068;0.03829;-0.01017;59.18;-6.57;107.26;24.40;104.45;0.04167;0.04469;-0.003025;-13.802;-13.498;-99.990;0.27;-14.87;
2023-05-05 15:27:25.85;0.00:00:01:257;-0.46;0.86;-0.23;0.0416;-0.02054;0.03836;-0.01014;59.08;-6.56;107.41;24.36;104.61;0.0416;0.04468;-0.003081;-13.809;-13.499;-99.990;0.27;-14.80;
2023-05-05 15:27:25.90;0.00:00:01:306;-0.46;0.86;-0.23;0.04154;-0.02067;0.03818;-0.01008;59.22;-6.54;107.30;24.27;104.52;0.04154;0.04457;-0.003033;-13.816;-13.510;-99.990;0.27;-14.79;
2023-05-05 15:27:25.94;0.00:00:01:350;-0.46;0.86;-0.23;0.04153;-0.02072;0.03825;-0.01013;59.22;-6.55;107.55;24.39;104.75;0.04153;0.04466;-0.003137;-13.817;-13.500;-99.990;0.27;-14.83;
2023-05-05 15:27:25.99;0.00:00:01:397;-0.46;0.86;-0.23;0.04178;-0.02059;0.03842;-0.01018;59.09;-6.57;107.14;24.37;104.33;0.04178;0.04476;-0.002984;-13.790;-13.491;-99.990;0.27;-14.84;
2023-05-05 15:27:26.04;0.00:00:01:446;-0.46;0.86;-0.23;0.04164;-0.02068;0.03821;-0.01016;59.21;-6.58;107.16;24.41;104.34;0.04164;0.04462;-0.002981;-13.805;-13.505;-99.990;0.27;-14.89;
2023-05-05 15:27:26.08;0.00:00:01:493;-0.46;0.86;-0.23;0.04158;-0.02063;0.03824;-0.01021;59.18;-6.61;107.34;24.55;104.49;0.04158;0.04463;-0.003051;-13.811;-13.504;-99.990;0.27;-14.95;
2023-05-05 15:27:26.13;0.00:00:01:540;-0.46;0.86;-0.23;0.0417;-0.02068;0.03834;-0.01013;59.17;-6.55;107.25;24.29;104.46;0.0417;0.04473;-0.003024;-13.798;-13.494;-99.990;0.27;-14.80;
2023-05-05 15:27:26.18;0.00:00:01:587;-0.46;0.86;-0.23;0.04169;-0.02063;0.03835;-0.01014;59.14;-6.55;107.22;24.31;104.43;0.04169;0.04471;-0.003012;-13.799;-13.496;-99.990;0.27;-14.81;
2023-05-05 15:27:26.22;0.00:00:01:634;-0.46;0.86;-0.23;0.04164;-0.02074;0.03833;-0.01018;59.21;-6.57;107.48;24.45;104.66;0.04164;0.04476;-0.003115;-13.805;-13.492;-99.990;0.27;-14.87;
2023-05-05 15:27:26.27;0.00:00:01:681;-0.46;0.86;-0.23;0.04169;-0.02059;0.03834;-0.01016;59.12;-6.57;107.18;24.36;104.37;0.04169;0.04469;-0.002992;-13.799;-13.498;-99.990;0.27;-14.84;
2023-05-05 15:27:26.32;0.00:00:01:727;-0.46;0.86;-0.23;0.04159;-0.02069;0.03836;-0.01019;59.17;-6.58;107.62;24.51;104.80;0.04159;0.04476;-0.003171;-13.810;-13.491;-99.990;0.27;-14.88;
2023-05-05 15:27:26.37;0.00:00:01:777;-0.46;0.86;-0.23;0.04161;-0.02071;0.0382;-0.01011;59.23;-6.55;107.21;24.29;104.43;0.04161;0.04461;-0.003001;-13.808;-13.506;-99.990;0.27;-14.82;
2023-05-05 15:27:26.42;0.00:00:01:834;-0.46;0.86;-0.23;0.04152;-0.0207;0.03821;-0.01013;59.22;-6.56;107.47;24.39;104.67;0.04152;0.04462;-0.003102;-13.817;-13.504;-99.990;0.27;-14.84;
2023-05-05 15:27:26.47;0.00:00:01:881;-0.46;0.86;-0.23;0.04169;-0.02057;0.03822;-0.01017;59.15;-6.59;106.93;24.40;104.11;0.04169;0.04458;-0.002889;-13.799;-13.508;-99.990;0.27;-14.90;
2023-05-05 15:27:26.52;0.00:00:01:928;-0.46;0.86;-0.23;0.04159;-0.02065;0.03815;-0.01012;59.21;-6.57;107.11;24.34;104.31;0.04159;0.04455;-0.002957;-13.810;-13.512;-99.990;0.27;-14.86;
2023-05-05 15:27:26.56;0.00:00:01:975;-0.46;0.86;-0.23;0.04158;-0.02076;0.03826;-0.01011;59.25;-6.54;107.46;24.31;104.68;0.04158;0.04469;-0.003103;-13.811;-13.498;-99.990;0.27;-14.80;
2023-05-05 15:27:26.61;0.00:00:02:022;-0.46;0.86;-0.23;0.04166;-0.02066;0.03829;-0.01015;59.18;-6.57;107.24;24.37;104.44;0.04166;0.04468;-0.003018;-13.802;-13.499;-99.990;0.27;-14.85;
2023-05-05 15:27:26.66;0.00:00:02:069;-0.46;0.86;-0.23;0.04168;-0.02072;0.03838;-0.01014;59.18;-6.55;107.44;24.33;104.65;0.04168;0.04478;-0.0031;-13.801;-13.489;-99.990;0.27;-14.80;
2023-05-05 15:27:26.71;0.00:00:02:116;-0.46;0.86;-0.23;0.04171;-0.02059;0.03845;-0.01016;59.08;-6.56;107.37;24.36;104.58;0.04171;0.04479;-0.003076;-13.797;-13.488;-99.990;0.27;-14.80;
2023-05-05 15:27:26.75;0.00:00:02:163;-0.47;0.86;-0.23;0.04159;-0.02078;0.03822;-0.01009;59.27;-6.53;107.38;24.25;104.60;0.04159;0.04466;-0.003068;-13.810;-13.501;-99.990;0.27;-14.78;
2023-05-05 15:27:26.80;0.00:00:02:209;-0.46;0.86;-0.23;0.04165;-0.02068;0.03832;-0.01018;59.17;-6.58;107.37;24.44;104.55;0.04165;0.04472;-0.003068;-13.804;-13.495;-99.990;0.27;-14.88;
2023-05-05 15:27:26.85;0.00:00:02:256;-0.46;0.86;-0.23;0.04163;-0.02074;0.03827;-0.01013;59.23;-6.55;107.36;24.34;104.57;0.04163;0.04469;-0.003064;-13.806;-13.498;-99.990;0.27;-14.83;
2023-05-05 15:27:26.91;0.00:00:02:318;-0.46;0.86;-0.23;0.04167;-0.02075;0.03835;-0.01007;59.21;-6.50;107.40;24.18;104.64;0.04167;0.04475;-0.003081;-13.802;-13.492;-99.990;0.27;-14.72;
2023-05-05 15:27:26.96;0.00:00:02:371;-0.46;0.86;-0.23;0.04155;-0.02077;0.03839;-0.01016;59.20;-6.55;107.85;24.46;105.04;0.04155;0.04482;-0.003263;-13.814;-13.486;-99.990;0.27;-14.83;
2023-05-05 15:27:27.01;0.00:00:02:425;-0.46;0.86;-0.23;0.04161;-0.02077;0.03828;-0.01013;59.24;-6.55;107.45;24.35;104.66;0.04161;0.04471;-0.003102;-13.808;-13.496;-99.990;0.27;-14.83;
2023-05-05 15:27:27.06;0.00:00:02:473;-0.46;0.86;-0.23;0.04163;-0.02078;0.03828;-0.01007;59.25;-6.51;107.37;24.18;104.61;0.04163;0.0447;-0.003069;-13.806;-13.497;-99.990;0.27;-14.74;
2023-05-05 15:27:27.11;0.00:00:02:524;-0.46;0.86;-0.23;0.0416;-0.02071;0.03834;-0.01014;59.19;-6.55;107.55;24.37;104.75;0.0416;0.04474;-0.00314;-13.809;-13.493;-99.990;0.27;-14.81;
2023-05-05 15:27:27.16;0.00:00:02:571;-0.46;0.86;-0.23;0.04164;-0.02064;0.03828;-0.01015;59.17;-6.57;107.26;24.37;104.46;0.04164;0.04466;-0.003024;-13.805;-13.500;-99.990;0.27;-14.85;
2023-05-05 15:27:27.21;0.00:00:02:618;-0.46;0.86;-0.23;0.04166;-0.02067;0.03824;-0.01012;59.19;-6.55;107.13;24.28;104.34;0.04166;0.04463;-0.00297;-13.803;-13.504;-99.990;0.27;-14.82;
2023-05-05 15:27:27.26;0.00:00:02:665;-0.46;0.86;-0.23;0.04169;-0.02065;0.03835;-0.01016;59.15;-6.57;107.29;24.38;104.48;0.04169;0.04472;-0.003038;-13.800;-13.495;-99.990;0.27;-14.85;
2023-05-05 15:27:27.30;0.00:00:02:712;-0.46;0.86;-0.23;0.04171;-0.02067;0.03835;-0.01013;59.16;-6.54;107.23;24.28;104.44;0.04171;0.04473;-0.003016;-13.798;-13.494;-99.990;0.27;-14.79;
2023-05-05 15:27:27.35;0.00:00:02:759;-0.46;0.86;-0.23;0.04168;-0.02065;0.03832;-0.01008;59.16;-6.52;107.20;24.18;104.44;0.04168;0.04468;-0.003002;-13.801;-13.499;-99.990;0.27;-14.74;
2023-05-05 15:27:27.41;0.00:00:02:819;-0.46;0.86;-0.23;0.04164;-0.02072;0.03815;-0.01008;59.25;-6.54;107.03;24.22;104.26;0.04164;0.04457;-0.002928;-13.805;-13.509;-99.990;0.27;-14.81;
2023-05-05 15:27:27.46;0.00:00:02:867;-0.46;0.86;-0.23;0.04166;-0.02068;0.03823;-0.01018;59.21;-6.59;107.16;24.43;104.34;0.04166;0.04464;-0.002982;-13.803;-13.502;-99.990;0.27;-14.91;
2023-05-05 15:27:27.52;0.00:00:02:930;-0.46;0.86;-0.23;0.04156;-0.02059;0.03816;-0.0101;59.18;-6.55;107.13;24.30;104.34;0.04156;0.04452;-0.002962;-13.813;-13.514;-99.990;0.27;-14.82;
2023-05-05 15:27:27.58;0.00:00:02:992;-0.47;0.86;-0.23;0.04164;-0.02084;0.03834;-0.01011;59.26;-6.52;107.58;24.28;104.81;0.04164;0.0448;-0.003157;-13.805;-13.488;-99.990;0.27;-14.77;
2023-05-05 15:27:27.63;0.00:00:03:039;-0.47;0.86;-0.23;0.04159;-0.02075;0.03815;-0.01007;59.27;-6.53;107.18;24.21;104.41;0.04159;0.04458;-0.002986;-13.810;-13.509;-99.990;0.27;-14.78;
2023-05-05 15:27:27.68;0.00:00:03:086;-0.46;0.86;-0.23;0.04164;-0.02084;0.03843;-0.01012;59.24;-6.52;107.77;24.31;104.99;0.04164;0.04487;-0.003236;-13.805;-13.480;-99.990;0.27;-14.75;
