"","Channel A Ave. (mV)","Channel B Ave. (mV)","Channel C Ave. (mV)","Channel D Ave. (mV)"
"00:00:00.000","66.637","39.399","156.621","251.198"
"00:00:00.001","62.716","31.495","156.621","251.198"
"00:00:00.002","62.716","35.447","156.621","251.198"
"00:00:00.003","62.716","35.447","156.621","247.261"
"00:00:00.004","66.637","35.447","156.621","247.261"
"00:00:00.005","70.559","39.399","156.621","251.198"
"00:00:00.006","70.559","39.399","156.621","251.198"
"00:00:00.007","70.559","35.447","156.621","247.261"
"00:00:00.008","66.637","35.447","156.621","247.261"
"00:00:00.009","66.637","35.447","156.621","251.198"
"00:00:00.010","70.559","35.447","156.621","251.198"
"00:00:00.011","66.637","39.399","156.621","251.198"
"00:00:00.012","66.637","39.399","156.621","251.198"
"00:00:00.013","70.559","39.399","156.621","251.198"
"00:00:00.014","66.637","39.399","156.621","251.198"
"00:00:00.015","66.637","39.399","156.621","251.198"
"00:00:00.016","70.559","39.399","156.621","251.198"
"00:00:00.017","70.559","39.399","156.621","251.198"
"00:00:00.018","66.637","39.399","156.621","251.198"
"00:00:00.019","66.637","39.399","156.621","247.261"
"00:00:00.020","70.559","35.447","156.621","243.324"
"00:00:00.021","70.559","35.447","156.621","247.261"
"00:00:00.022","70.559","35.447","156.621","251.198"
"00:00:00.023","66.637","35.447","156.621","251.198"
"00:00:00.024","62.716","39.399","156.621","251.198"
"00:00:00.025","66.637","39.399","156.621","251.198"
"00:00:00.026","70.559","35.447","156.621","251.198"
"00:00:00.027","70.559","35.447","156.621","251.198"
"00:00:00.028","70.559","39.399","156.621","251.198"
"00:00:00.029","66.637","39.399","156.621","251.198"
"00:00:00.030","66.637","39.399","156.621","251.198"
"00:00:00.031","70.559","39.399","156.621","251.198"
"00:00:00.032","70.559","39.399","156.621","251.198"
"00:00:00.033","70.559","39.399","156.621","251.198"
"00:00:00.034","66.637","39.399","156.621","251.198"
"00:00:00.035","62.716","39.399","156.621","251.198"
"00:00:00.036","66.637","35.447","156.621","251.198"
"00:00:00.037","70.559","35.447","156.621","251.198"
"00:00:00.038","66.637","39.399","156.621","251.198"
"00:00:00.039","66.637","39.399","156.621","251.198"
"00:00:00.040","66.637","39.399","156.621","251.198"
"00:00:00.041","62.716","39.399","156.621","251.198"
"00:00:00.042","66.637","39.399","160.543","251.198"
"00:00:00.043","66.637","39.399","160.543","251.198"
"00:00:00.044","66.637","39.399","156.621","251.198"
"00:00:00.045","70.559","39.399","156.621","251.198"
"00:00:00.046","70.559","39.399","156.621","247.261"
"00:00:00.047","70.559","39.399","156.621","247.261"
"00:00:00.048","70.559","39.399","156.621","251.198"
