"","Channel A Ave. (mV)","Channel B Ave. (mV)","Channel C Ave. (mV)","Channel D Ave. (mV)"
"00:00:00.000","4.709","-226.768","149.709","58.199"
"00:00:00.001","4.709","-225.193","148.927","58.199"
"00:00:00.002","4.709","-223.618","148.146","58.199"
"00:00:00.003","4.709","-222.044","147.365","58.199"
"00:00:00.004","4.709","-220.469","146.583","58.199"
"00:00:00.005","4.709","-218.894","145.802","58.199"
"00:00:00.006","4.709","-217.319","145.021","58.199"
"00:00:00.007","4.709","-215.744","144.240","58.199"
"00:00:00.008","4.709","-214.170","143.458","58.199"
"00:00:00.009","4.709","-212.595","142.677","58.199"
"00:00:00.010","4.709","-211.020","141.896","58.199"
"00:00:00.011","4.709","-209.445","141.115","58.199"
"00:00:00.012","4.709","-207.871","140.333","58.199"
"00:00:00.013","4.709","-206.296","139.552","58.199"
"00:00:00.014","4.709","-204.721","138.771","58.199"
"00:00:00.015","4.709","-203.146","137.989","58.199"
"00:00:00.016","4.709","-201.572","137.208","58.199"
"00:00:00.017","4.709","-199.997","136.427","58.199"
"00:00:00.018","4.709","-198.422","135.646","58.199"
"00:00:00.019","4.709","-196.847","134.864","58.199"
"00:00:00.020","4.709","-195.273","134.083","58.199"
"00:00:00.021","4.709","-193.698","133.302","58.199"
"00:00:00.022","4.709","-192.123","132.521","58.199"
"00:00:00.023","4.709","-190.548","131.739","58.199"
"00:00:00.024","4.709","-188.974","130.958","58.199"
"00:00:00.025","4.709","-187.399","130.177","58.199"
"00:00:00.026","4.709","-185.824","129.395","58.199"
"00:00:00.027","4.709","-184.249","128.614","58.199"
"00:00:00.028","4.709","-182.675","127.833","58.199"
"00:00:00.029","4.709","-181.100","127.052","58.199"
"00:00:00.030","4.709","-179.525","126.270","58.199"
"00:00:00.031","4.709","-177.950","125.489","58.199"
"00:00:00.032","4.709","-176.376","124.708","58.199"
"00:00:00.033","4.709","-174.801","123.927","58.199"
"00:00:00.034","4.709","-173.226","123.145","58.199"
"00:00:00.035","4.709","-171.651","122.364","58.199"
"00:00:00.036","4.709","-170.077","121.583","58.199"
"00:00:00.037","4.709","-168.502","120.801","58.199"
"00:00:00.038","4.709","-166.927","120.020","58.199"
"00:00:00.039","4.709","-165.352","119.239","58.199"
"00:00:00.040","4.709","-163.778","118.458","58.199"
"00:00:00.041","4.709","-162.203","117.676","58.199"
"00:00:00.042","4.709","-160.628","116.895","58.199"
"00:00:00.043","4.709","-159.053","116.114","58.199"
"00:00:00.044","4.709","-157.479","115.333","58.199"
"00:00:00.045","4.709","-155.904","114.551","58.199"
"00:00:00.046","4.709","-154.329","113.770","58.199"
"00:00:00.047","4.709","-152.754","112.989","58.199"
"00:00:00.048","4.709","-151.180","112.207","58.199"
"00:00:00.049","4.709","-149.605","111.426","58.199"
"00:00:00.050","4.709","-148.030","110.645","58.199"
"00:00:00.051","4.709","-146.455","109.864","58.199"
"00:00:00.052","4.709","-144.881","109.082","58.199"
"00:00:00.053","4.709","-143.306","108.301","58.199"
"00:00:00.054","4.709","-141.731","107.520","58.199"
"00:00:00.055","4.709","-140.156","106.738","58.199"
"00:00:00.056","4.709","-138.582","105.957","58.199"
"00:00:00.057","4.709","-137.007","105.176","58.199"
"00:00:00.058","4.709","-135.432","104.395","58.199"
"00:00:00.059","4.709","-133.857","103.613","58.199"
"00:00:00.060","4.709","-132.282","102.832","58.199"
"00:00:00.061","4.709","-130.708","102.051","58.199"
"00:00:00.062","4.709","-129.133","101.270","58.199"
"00:00:00.063","4.709","-127.558","100.488","58.199"
"00:00:00.064","4.709","-125.983","99.707","58.199"
"00:00:00.065","4.709","-124.409","98.926","58.199"
"00:00:00.066","4.709","-122.834","98.144","58.199"
"00:00:00.067","4.709","-121.259","97.363","58.199"
"00:00:00.068","4.709","-119.684","96.582","58.199"
"00:00:00.069","4.709","-118.110","95.801","58.199"
"00:00:00.070","4.709","-116.535","95.019","58.199"
"00:00:00.071","4.709","-114.960","94.238","58.199"
"00:00:00.072","4.709","-113.385","93.457","58.199"
"00:00:00.073","4.709","-111.811","92.676","58.199"
"00:00:00.074","4.709","-110.236","91.894","58.199"
"00:00:00.075","4.709","-108.661","91.113","58.199"
"00:00:00.076","4.709","-107.086","90.332","58.199"
"00:00:00.077","4.709","-105.512","89.550","58.199"
"00:00:00.078","4.709","-103.937","88.769","58.199"
"00:00:00.079","4.709","-102.362","87.988","58.199"
"00:00:00.080","4.709","-100.787","87.207","58.199"
"00:00:00.081","4.709","-99.213","86.425","58.199"
"00:00:00.082","4.709","-97.638","85.644","58.199"
"00:00:00.083","4.709","-96.063","84.863","58.199"
"00:00:00.084","4.709","-94.488","84.082","58.199"
"00:00:00.085","4.709","-92.914","83.300","58.199"
"00:00:00.086","4.709","-91.339","82.519","58.199"
"00:00:00.087","4.709","-89.764","81.738","58.199"
"00:00:00.088","4.709","-88.189","80.956","58.199"
"00:00:00.089","4.709","-86.615","80.175","58.199"
"00:00:00.090","4.709","-85.040","79.394","58.199"
"00:00:00.091","4.709","-83.465","78.613","58.199"
"00:00:00.092","4.709","-81.890","77.831","58.199"
"00:00:00.093","4.709","-80.316","77.050","58.199"
"00:00:00.094","4.709","-78.741","76.269","58.199"
"00:00:00.095","4.709","-77.166","75.488","58.199"
"00:00:00.096","4.709","-75.591","74.706","58.199"
"00:00:00.097","4.709","-74.017","73.925","58.199"
"00:00:00.098","4.709","-72.442","73.144","58.199"
"00:00:00.099","4.709","-70.867","72.362","58.199"
"00:00:00.100","4.709","-69.292","71.581","58.199"
"00:00:00.101","4.709","-67.718","70.800","58.199"
"00:00:00.102","4.709","-66.143","70.019","58.199"
"00:00:00.103","4.709","-64.568","69.237","58.199"
"00:00:00.104","4.709","-62.993","68.456","58.199"
"00:00:00.105","4.709","-61.419","67.675","58.199"
"00:00:00.106","4.709","-59.844","66.894","58.199"
"00:00:00.107","4.709","-58.269","66.112","58.199"
"00:00:00.108","4.709","-56.694","65.331","58.199"
"00:00:00.109","4.709","-55.119","64.550","58.199"
"00:00:00.110","4.709","-52.757","63.378","58.199"
"00:00:00.111","4.709","-51.970","62.987","58.199"
"00:00:00.112","4.709","-50.395","62.206","58.199"
"00:00:00.113","4.709","-48.820","61.425","58.199"
"00:00:00.114","4.709","-47.246","60.643","58.199"
"00:00:00.115","4.709","-45.671","59.862","58.199"
