Device : ;PAX1000IR2/M
Serial Number : ;M00534359
Firmware Version : ;1.0.13
Software Version : ;1.3.1907.145
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2023-05-05 15:00:19.52;0.00:00:00:056;-0.72;0.64;0.25;0.1729;-0.1316;0.1176;0.04632;69.10;7.35;105.54;26.79;102.08;0.1729;0.1825;-0.009572;-7.622;-7.388;-99.990;0.14;21.49;
2023-05-05 15:00:19.58;0.00:00:00:119;-0.72;0.64;0.25;0.1729;-0.1315;0.1175;0.04649;69.12;7.38;105.46;26.88;101.98;0.1729;0.1824;-0.009442;-7.621;-7.390;-99.990;0.14;21.59;
2023-05-05 15:00:19.63;0.00:00:00:167;-0.72;0.64;0.26;0.173;-0.1316;0.1175;0.04653;69.11;7.39;105.48;26.90;101.99;0.173;0.1824;-0.009471;-7.620;-7.389;-99.990;0.14;21.60;
2023-05-05 15:00:19.68;0.00:00:00:216;-0.72;0.64;0.25;0.1729;-0.1317;0.1172;0.04642;69.17;7.37;105.47;26.85;102.00;0.1729;0.1824;-0.009459;-7.622;-7.391;-99.990;0.14;21.60;
2023-05-05 15:00:19.74;0.00:00:00:280;-0.72;0.65;0.25;0.1728;-0.1311;0.1177;0.0462;69.05;7.35;105.40;26.74;101.95;0.1728;0.1821;-0.00933;-7.625;-7.396;-99.990;0.14;21.44;
2023-05-05 15:00:19.79;0.00:00:00:330;-0.72;0.64;0.25;0.1729;-0.1313;0.1174;0.04642;69.10;7.38;105.37;26.85;101.89;0.1729;0.1821;-0.009281;-7.623;-7.396;-99.990;0.14;21.58;
2023-05-05 15:00:19.85;0.00:00:00:387;-0.72;0.65;0.25;0.1727;-0.1312;0.1175;0.04626;69.07;7.36;105.45;26.79;101.99;0.1727;0.1821;-0.009415;-7.628;-7.397;-99.990;0.14;21.49;
2023-05-05 15:00:19.90;0.00:00:00:435;-0.72;0.65;0.25;0.1729;-0.1315;0.1177;0.04641;69.08;7.37;105.53;26.84;102.06;0.1729;0.1825;-0.009558;-7.622;-7.388;-99.990;0.14;21.52;
2023-05-05 15:00:19.95;0.00:00:00:485;-0.72;0.64;0.25;0.1729;-0.1316;0.1175;0.04638;69.12;7.37;105.49;26.83;102.03;0.1729;0.1824;-0.0095;-7.622;-7.390;-99.990;0.14;21.55;
2023-05-05 15:00:20.00;0.00:00:00:535;-0.72;0.65;0.25;0.1725;-0.1311;0.1174;0.04628;69.08;7.37;105.45;26.82;101.99;0.1725;0.182;-0.009409;-7.631;-7.400;-99.990;0.14;21.52;
2023-05-05 15:00:20.05;0.00:00:00:583;-0.72;0.64;0.25;0.1726;-0.1316;0.1172;0.04639;69.15;7.37;105.57;26.88;102.09;0.1726;0.1822;-0.009608;-7.629;-7.394;-99.990;0.14;21.59;
2023-05-05 15:00:20.10;0.00:00:00:633;-0.72;0.64;0.25;0.1726;-0.1314;0.1172;0.0463;69.13;7.37;105.47;26.83;102.00;0.1726;0.182;-0.009444;-7.630;-7.399;-99.990;0.14;21.56;
2023-05-05 15:00:20.16;0.00:00:00:693;-0.72;0.64;0.25;0.1728;-0.1313;0.1174;0.04642;69.09;7.38;105.43;26.87;101.95;0.1728;0.1822;-0.009388;-7.625;-7.396;-99.990;0.14;21.57;
2023-05-05 15:00:20.21;0.00:00:00:744;-0.72;0.64;0.25;0.1726;-0.1313;0.1175;0.0464;69.09;7.38;105.57;26.88;102.09;0.1726;0.1822;-0.009608;-7.629;-7.394;-99.990;0.14;21.54;
