Device : ;PAX1000IR2/M
Serial Number : ;M00534359
Firmware Version : ;1.0.13
Software Version : ;1.3.1907.145
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2023-05-05 15:02:32.72;0.00:00:00:060;-0.72;0.64;0.25;0.173;-0.1319;0.1169;0.04614;69.21;7.33;105.33;26.67;101.89;0.173;0.1822;-0.009215;-7.620;-7.395;-99.990;0.14;21.53;
2023-05-05 15:02:32.77;0.00:00:00:113;-0.72;0.64;0.25;0.1728;-0.132;0.1171;0.04612;69.20;7.32;105.52;26.68;102.09;0.1728;0.1824;-0.009537;-7.624;-7.390;-99.990;0.14;21.49;
2023-05-05 15:02:32.82;0.00:00:00:160;-0.72;0.64;0.25;0.1728;-0.1321;0.117;0.04599;69.23;7.31;105.49;26.61;102.07;0.1728;0.1823;-0.009481;-7.623;-7.391;-99.990;0.14;21.46;
2023-05-05 15:02:32.87;0.00:00:00:210;-0.72;0.64;0.25;0.1729;-0.132;0.1169;0.04623;69.24;7.35;105.43;26.74;101.99;0.1729;0.1823;-0.009393;-7.623;-7.393;-99.990;0.14;21.58;
2023-05-05 15:02:32.93;0.00:00:00:271;-0.72;0.64;0.25;0.173;-0.1319;0.1169;0.04629;69.22;7.36;105.30;26.75;101.84;0.173;0.1822;-0.009167;-7.619;-7.395;-99.990;0.14;21.61;
2023-05-05 15:02:32.98;0.00:00:00:318;-0.72;0.64;0.25;0.1732;-0.1319;0.1172;0.04618;69.19;7.34;105.31;26.67;101.87;0.1732;0.1823;-0.009189;-7.616;-7.391;-99.990;0.14;21.51;
2023-05-05 15:02:33.03;0.00:00:00:366;-0.72;0.64;0.25;0.1731;-0.1317;0.1171;0.04621;69.19;7.35;105.25;26.70;101.81;0.1731;0.1822;-0.009088;-7.617;-7.395;-99.990;0.14;21.54;
2023-05-05 15:02:33.07;0.00:00:00:413;-0.72;0.64;0.25;0.173;-0.1321;0.1168;0.04635;69.26;7.36;105.39;26.79;101.92;0.173;0.1823;-0.009317;-7.620;-7.392;-99.990;0.14;21.65;
2023-05-05 15:02:33.12;0.00:00:00:463;-0.72;0.64;0.25;0.1729;-0.132;0.117;0.04623;69.22;7.34;105.45;26.73;102.00;0.1729;0.1824;-0.009421;-7.621;-7.391;-99.990;0.14;21.56;
2023-05-05 15:02:33.18;0.00:00:00:519;-0.72;0.64;0.25;0.173;-0.1322;0.1173;0.04634;69.21;7.34;105.62;26.78;102.17;0.173;0.1828;-0.009722;-7.619;-7.381;-99.990;0.14;21.55;
2023-05-05 15:02:33.23;0.00:00:00:565;-0.72;0.64;0.25;0.1728;-0.1321;0.117;0.04622;69.23;7.34;105.60;26.75;102.16;0.1728;0.1825;-0.009677;-7.625;-7.388;-99.990;0.14;21.55;
2023-05-05 15:02:33.27;0.00:00:00:612;-0.72;0.64;0.25;0.1729;-0.1315;0.1171;0.04606;69.16;7.33;105.25;26.64;101.82;0.1729;0.182;-0.009077;-7.622;-7.400;-99.990;0.14;21.48;
2023-05-05 15:02:33.32;0.00:00:00:659;-0.72;0.64;0.25;0.1727;-0.132;0.1167;0.04613;69.26;7.34;105.50;26.72;102.06;0.1727;0.1822;-0.009495;-7.628;-7.396;-99.990;0.14;21.57;
2023-05-05 15:02:33.37;0.00:00:00:706;-0.72;0.64;0.25;0.1729;-0.1318;0.1171;0.04624;69.20;7.35;105.44;26.75;101.99;0.1729;0.1823;-0.009401;-7.622;-7.392;-99.990;0.14;21.55;
2023-05-05 15:02:33.41;0.00:00:00:753;-0.72;0.64;0.25;0.1728;-0.1319;0.117;0.04626;69.21;7.35;105.46;26.77;102.01;0.1728;0.1823;-0.009443;-7.623;-7.392;-99.990;0.14;21.57;
2023-05-05 15:02:33.46;0.00:00:00:801;-0.72;0.64;0.25;0.1728;-0.1318;0.1168;0.04612;69.23;7.34;105.35;26.69;101.91;0.1728;0.182;-0.009237;-7.625;-7.399;-99.990;0.14;21.55;
2023-05-05 15:02:33.51;0.00:00:00:847;-0.72;0.64;0.25;0.1728;-0.1324;0.1171;0.04617;69.25;7.32;105.75;26.73;102.32;0.1728;0.1827;-0.009932;-7.626;-7.383;-99.990;0.14;21.51;
2023-05-05 15:02:33.55;0.00:00:00:894;-0.72;0.64;0.25;0.1727;-0.1319;0.1167;0.04625;69.25;7.36;105.46;26.79;102.00;0.1727;0.1821;-0.009424;-7.628;-7.397;-99.990;0.14;21.62;
2023-05-05 15:02:33.60;0.00:00:00:944;-0.72;0.64;0.25;0.1726;-0.1321;0.1168;0.04618;69.26;7.34;105.62;26.75;102.17;0.1726;0.1823;-0.009699;-7.629;-7.392;-99.990;0.14;21.57;
2023-05-05 15:02:33.65;0.00:00:00:988;-0.72;0.64;0.25;0.1728;-0.1319;0.117;0.04624;69.22;7.35;105.49;26.76;102.04;0.1728;0.1823;-0.009487;-7.625;-7.393;-99.990;0.14;21.57;
2023-05-05 15:02:33.69;0.00:00:01:035;-0.72;0.64;0.25;0.1726;-0.1321;0.1168;0.04627;69.26;7.35;105.61;26.81;102.15;0.1726;0.1823;-0.009687;-7.630;-7.393;-99.990;0.14;21.62;
2023-05-05 15:02:33.74;0.00:00:01:082;-0.72;0.64;0.25;0.173;-0.132;0.1171;0.04631;69.22;7.35;105.45;26.77;102.00;0.173;0.1824;-0.009436;-7.619;-7.389;-99.990;0.14;21.58;
2023-05-05 15:02:33.79;0.00:00:01:129;-0.72;0.64;0.25;0.1729;-0.132;0.1172;0.04633;69.21;7.35;105.59;26.80;102.13;0.1729;0.1825;-0.009656;-7.623;-7.387;-99.990;0.14;21.57;
2023-05-05 15:02:33.84;0.00:00:01:178;-0.72;0.64;0.25;0.1727;-0.1318;0.1167;0.04609;69.24;7.34;105.34;26.69;101.90;0.1727;0.1819;-0.009225;-7.627;-7.401;-99.990;0.14;21.56;
2023-05-05 15:02:33.88;0.00:00:01:225;-0.72;0.64;0.25;0.1727;-0.1319;0.1166;0.04627;69.26;7.36;105.41;26.80;101.95;0.1727;0.182;-0.009349;-7.628;-7.399;-99.990;0.14;21.65;
2023-05-05 15:02:33.93;0.00:00:01:272;-0.72;0.64;0.25;0.1726;-0.1318;0.1168;0.04628;69.23;7.36;105.53;26.82;102.06;0.1726;0.1821;-0.009535;-7.630;-7.397;-99.990;0.14;21.61;
2023-05-05 15:02:33.98;0.00:00:01:319;-0.72;0.64;0.25;0.1727;-0.1318;0.1168;0.0462;69.22;7.35;105.40;26.75;101.95;0.1727;0.1821;-0.009326;-7.626;-7.398;-99.990;0.14;21.58;
2023-05-05 15:02:34.04;0.00:00:01:381;-0.72;0.64;0.25;0.1727;-0.1316;0.1166;0.04616;69.23;7.35;105.30;26.73;101.85;0.1727;0.1818;-0.00916;-7.628;-7.403;-99.990;0.14;21.59;
2023-05-05 15:02:34.09;0.00:00:01:428;-0.72;0.64;0.25;0.1727;-0.132;0.1167;0.04637;69.27;7.37;105.53;26.85;102.05;0.1727;0.1822;-0.009544;-7.628;-7.394;-99.990;0.14;21.67;
2023-05-05 15:02:34.14;0.00:00:01:477;-0.73;0.64;0.25;0.1728;-0.1322;0.1165;0.04638;69.30;7.38;105.42;26.84;101.95;0.1728;0.1822;-0.009374;-7.625;-7.395;-99.990;0.14;21.71;
2023-05-05 15:02:34.19;0.00:00:01:535;-0.72;0.64;0.25;0.1728;-0.1319;0.1168;0.04617;69.25;7.34;105.38;26.72;101.94;0.1728;0.1821;-0.009303;-7.624;-7.396;-99.990;0.14;21.58;
2023-05-05 15:02:34.26;0.00:00:01:597;-0.72;0.64;0.25;0.1728;-0.1318;0.1167;0.04619;69.23;7.35;105.35;26.73;101.90;0.1728;0.182;-0.009238;-7.625;-7.399;-99.990;0.14;21.59;
2023-05-05 15:02:34.30;0.00:00:01:644;-0.72;0.64;0.25;0.1727;-0.132;0.1167;0.04615;69.26;7.34;105.46;26.73;102.02;0.1727;0.1821;-0.009429;-7.627;-7.396;-99.990;0.14;21.58;
2023-05-05 15:02:34.35;0.00:00:01:691;-0.72;0.64;0.25;0.1728;-0.1321;0.1171;0.0463;69.22;7.35;105.65;26.80;102.20;0.1728;0.1826;-0.00977;-7.625;-7.386;-99.990;0.14;21.57;
2023-05-05 15:02:34.40;0.00:00:01:738;-0.72;0.64;0.25;0.1731;-0.132;0.1171;0.04627;69.21;7.35;105.41;26.73;101.96;0.1731;0.1824;-0.009358;-7.617;-7.389;-99.990;0.14;21.56;
2023-05-05 15:02:34.44;0.00:00:01:785;-0.72;0.64;0.25;0.173;-0.132;0.1169;0.04635;69.24;7.36;105.39;26.79;101.92;0.173;0.1823;-0.009319;-7.620;-7.392;-99.990;0.14;21.63;
2023-05-05 15:02:34.49;0.00:00:01:832;-0.72;0.64;0.26;0.1728;-0.1319;0.1167;0.04647;69.24;7.39;105.39;26.89;101.90;0.1728;0.1821;-0.009311;-7.624;-7.396;-99.990;0.14;21.71;
2023-05-05 15:02:34.54;0.00:00:01:878;-0.72;0.64;0.25;0.1727;-0.1318;0.117;0.04639;69.20;7.37;105.50;26.86;102.02;0.1727;0.1822;-0.009498;-7.626;-7.394;-99.990;0.14;21.63;
2023-05-05 15:02:34.59;0.00:00:01:925;-0.72;0.64;0.26;0.1729;-0.1318;0.1165;0.04643;69.27;7.39;105.22;26.85;101.73;0.1729;0.1819;-0.009019;-7.622;-7.401;-99.990;0.14;21.73;
2023-05-05 15:02:34.63;0.00:00:01:974;-0.72;0.64;0.25;0.1727;-0.132;0.1167;0.04619;69.26;7.34;105.48;26.75;102.04;0.1727;0.1822;-0.009471;-7.627;-7.395;-99.990;0.14;21.59;
2023-05-05 15:02:34.68;0.00:00:02:019;-0.72;0.64;0.25;0.1728;-0.1317;0.1169;0.04624;69.21;7.36;105.39;26.76;101.94;0.1728;0.1821;-0.009313;-7.625;-7.397;-99.990;0.14;21.58;
2023-05-05 15:02:34.73;0.00:00:02:066;-0.72;0.64;0.25;0.1729;-0.1318;0.1167;0.04629;69.24;7.37;105.26;26.78;101.80;0.1729;0.182;-0.0091;-7.622;-7.400;-99.990;0.14;21.64;
2023-05-05 15:02:34.77;0.00:00:02:113;-0.72;0.64;0.25;0.1729;-0.1319;0.1171;0.04637;69.20;7.37;105.46;26.82;102.00;0.1729;0.1823;-0.009447;-7.622;-7.391;-99.990;0.14;21.61;
2023-05-05 15:02:34.82;0.00:00:02:160;-0.72;0.64;0.25;0.1727;-0.1319;0.1166;0.04628;69.25;7.36;105.40;26.79;101.94;0.1727;0.1821;-0.009324;-7.626;-7.398;-99.990;0.14;21.64;
2023-05-05 15:02:34.87;0.00:00:02:207;-0.72;0.64;0.25;0.1725;-0.1317;0.1166;0.04624;69.24;7.36;105.40;26.80;101.94;0.1725;0.1818;-0.009315;-7.631;-7.403;-99.990;0.14;21.63;
2023-05-05 15:02:34.91;0.00:00:02:254;-0.72;0.64;0.25;0.1727;-0.1316;0.1168;0.04627;69.21;7.37;105.39;26.80;101.93;0.1727;0.182;-0.009313;-7.628;-7.400;-99.990;0.14;21.61;
2023-05-05 15:02:34.98;0.00:00:02:317;-0.72;0.64;0.25;0.1726;-0.1317;0.1163;0.04624;69.28;7.37;105.29;26.80;101.82;0.1726;0.1817;-0.009131;-7.630;-7.406;-99.990;0.14;21.68;
2023-05-05 15:02:35.02;0.00:00:02:364;-0.72;0.64;0.25;0.1723;-0.1318;0.1167;0.04606;69.24;7.33;105.58;26.73;102.14;0.1723;0.1819;-0.00962;-7.637;-7.401;-99.990;0.14;21.54;
2023-05-05 15:02:35.07;0.00:00:02:412;-0.72;0.64;0.26;0.1726;-0.1316;0.1163;0.04639;69.27;7.40;105.28;26.88;101.79;0.1726;0.1817;-0.009114;-7.631;-7.407;-99.990;0.14;21.74;
2023-05-05 15:02:35.12;0.00:00:02:462;-0.72;0.64;0.25;0.1725;-0.1319;0.1166;0.04627;69.25;7.36;105.50;26.81;102.03;0.1725;0.182;-0.009486;-7.631;-7.399;-99.990;0.14;21.64;
2023-05-05 15:02:35.18;0.00:00:02:519;-0.72;0.64;0.26;0.1727;-0.1317;0.1166;0.04639;69.25;7.39;105.34;26.86;101.85;0.1727;0.1819;-0.009215;-7.628;-7.402;-99.990;0.14;21.70;
2023-05-05 15:02:35.23;0.00:00:02:566;-0.72;0.64;0.25;0.1728;-0.1321;0.117;0.04637;69.23;7.36;105.59;26.84;102.12;0.1728;0.1824;-0.009657;-7.625;-7.389;-99.990;0.14;21.62;
2023-05-05 15:02:35.27;0.00:00:02:613;-0.72;0.64;0.25;0.1725;-0.1317;0.1168;0.04622;69.22;7.36;105.50;26.80;102.04;0.1725;0.182;-0.009493;-7.632;-7.399;-99.990;0.14;21.59;
2023-05-05 15:02:35.32;0.00:00:02:660;-0.72;0.64;0.25;0.1727;-0.1319;0.1168;0.04624;69.24;7.35;105.47;26.77;102.02;0.1727;0.1821;-0.009448;-7.627;-7.396;-99.990;0.14;21.60;
2023-05-05 15:02:35.37;0.00:00:02:707;-0.72;0.64;0.25;0.1728;-0.1317;0.1168;0.04631;69.22;7.37;105.32;26.80;101.85;0.1728;0.182;-0.009186;-7.624;-7.399;-99.990;0.14;21.64;
2023-05-05 15:02:35.41;0.00:00:02:754;-0.72;0.64;0.25;0.1725;-0.1321;0.1168;0.04622;69.25;7.34;105.65;26.79;102.20;0.1725;0.1823;-0.009746;-7.631;-7.392;-99.990;0.14;21.59;
2023-05-05 15:02:35.46;0.00:00:02:801;-0.72;0.64;0.25;0.1729;-0.1319;0.1168;0.04629;69.24;7.36;105.36;26.78;101.90;0.1729;0.1821;-0.00927;-7.623;-7.396;-99.990;0.14;21.62;
2023-05-05 15:02:35.51;0.00:00:02:848;-0.72;0.64;0.25;0.1726;-0.132;0.1166;0.04638;69.27;7.38;105.50;26.87;102.02;0.1726;0.1821;-0.009495;-7.629;-7.397;-99.990;0.14;21.69;
2023-05-05 15:02:35.56;0.00:00:02:898;-0.72;0.64;0.25;0.1728;-0.132;0.1168;0.04642;69.24;7.38;105.46;26.86;101.98;0.1728;0.1823;-0.009441;-7.624;-7.393;-99.990;0.14;21.67;
2023-05-05 15:02:35.60;0.00:00:02:945;-0.72;0.64;0.25;0.173;-0.1316;0.1172;0.04634;69.15;7.37;105.34;26.79;101.88;0.173;0.1822;-0.009238;-7.619;-7.394;-99.990;0.14;21.57;
2023-05-05 15:02:35.66;0.00:00:03:003;-0.72;0.64;0.25;0.1729;-0.1318;0.1169;0.04636;69.22;7.37;105.35;26.81;101.88;0.1729;0.1821;-0.009242;-7.622;-7.396;-99.990;0.14;21.64;
2023-05-05 15:02:35.71;0.00:00:03:052;-0.72;0.64;0.25;0.1726;-0.1319;0.117;0.04628;69.21;7.35;105.60;26.81;102.14;0.1726;0.1823;-0.009669;-7.630;-7.393;-99.990;0.14;21.58;
2023-05-05 15:02:35.76;0.00:00:03:099;-0.72;0.64;0.25;0.1727;-0.1319;0.1168;0.04633;69.24;7.37;105.43;26.82;101.96;0.1727;0.1821;-0.009382;-7.626;-7.396;-99.990;0.14;21.65;
