Device : ;PAX1000IR2/M
Serial Number : ;M00534359
Firmware Version : ;1.0.13
Software Version : ;1.3.1907.145
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2023-05-05 15:42:14.60;0.00:00:00:060;-0.51;0.21;-0.83;0.09265;-0.00222;0.0009258;-0.003606;78.68;-28.15;4.68;3.89;2.60;0.09265;0.004334;0.08832;-10.331;-23.631;-10.539;0.24;-75.60;
2023-05-05 15:42:14.66;0.00:00:00:118;-0.51;0.16;-0.85;0.09264;-0.002311;0.0007158;-0.003836;81.39;-28.88;4.90;4.14;2.61;0.09264;0.004535;0.08811;-10.332;-23.434;-10.550;0.25;-79.43;
2023-05-05 15:42:14.71;0.00:00:00:165;-0.53;0.20;-0.82;0.09259;-0.002368;0.0008738;-0.003654;79.87;-27.68;4.80;3.95;2.73;0.09259;0.004441;0.08815;-10.334;-23.525;-10.548;0.23;-76.55;
2023-05-05 15:42:14.75;0.00:00:00:213;-0.54;0.17;-0.82;0.09249;-0.002454;0.0007533;-0.003726;81.47;-27.72;4.89;4.03;2.78;0.09249;0.004525;0.08796;-10.339;-23.444;-10.557;0.23;-78.57;
2023-05-05 15:42:14.81;0.00:00:00:267;-0.53;0.18;-0.83;0.09253;-0.002403;0.0008014;-0.003785;80.78;-28.10;4.92;4.09;2.74;0.09253;0.004554;0.08797;-10.337;-23.416;-10.557;0.24;-78.04;
2023-05-05 15:42:14.86;0.00:00:00:314;-0.51;0.20;-0.84;0.09254;-0.002318;0.0008968;-0.003852;79.43;-28.58;4.95;4.16;2.69;0.09254;0.004584;0.08796;-10.337;-23.387;-10.557;0.25;-76.89;
2023-05-05 15:42:14.91;0.00:00:00:364;-0.52;0.18;-0.83;0.0923;-0.002425;0.0008501;-0.003841;80.34;-28.11;5.01;4.16;2.78;0.0923;0.004621;0.08768;-10.348;-23.352;-10.571;0.24;-77.52;
2023-05-05 15:42:14.98;0.00:00:00:438;-0.55;0.17;-0.82;0.09263;-0.002485;0.0007764;-0.003667;81.32;-27.31;4.85;3.96;2.81;0.09263;0.004497;0.08814;-10.332;-23.470;-10.548;0.22;-78.05;
2023-05-05 15:42:15.03;0.00:00:00:488;-0.54;0.17;-0.82;0.09252;-0.002377;0.0007475;-0.003613;81.27;-27.70;4.74;3.90;2.69;0.09252;0.004389;0.08813;-10.338;-23.577;-10.549;0.23;-78.31;
2023-05-05 15:42:15.08;0.00:00:00:536;-0.57;0.13;-0.81;0.09248;-0.002564;0.000604;-0.00366;83.37;-27.13;4.88;3.96;2.85;0.09248;0.004509;0.08797;-10.339;-23.459;-10.557;0.22;-80.63;
2023-05-05 15:42:15.13;0.00:00:00:589;-0.55;0.15;-0.82;0.09251;-0.002427;0.0006686;-0.003585;82.30;-27.46;4.74;3.88;2.72;0.09251;0.004381;0.08813;-10.338;-23.585;-10.549;0.22;-79.44;
2023-05-05 15:42:15.18;0.00:00:00:638;-0.57;0.13;-0.81;0.09237;-0.002623;0.0006235;-0.003767;83.32;-27.20;5.02;4.08;2.92;0.09237;0.004632;0.08774;-10.345;-23.342;-10.568;0.22;-80.60;
2023-05-05 15:42:15.23;0.00:00:00:687;-0.52;0.12;-0.84;0.09252;-0.002366;0.0005598;-0.003815;83.35;-28.74;4.89;4.12;2.63;0.09252;0.004524;0.088;-10.338;-23.445;-10.555;0.24;-81.65;
2023-05-05 15:42:15.28;0.00:00:00:737;-0.53;0.19;-0.82;0.09258;-0.002396;0.0008332;-0.0037;80.41;-27.78;4.85;4.00;2.74;0.09258;0.004486;0.0881;-10.335;-23.482;-10.550;0.23;-77.31;
2023-05-05 15:42:15.32;0.00:00:00:783;-0.52;0.17;-0.83;0.0926;-0.002298;0.000764;-0.003661;80.81;-28.26;4.74;3.95;2.62;0.0926;0.00439;0.08821;-10.334;-23.576;-10.545;0.24;-78.21;
2023-05-05 15:42:15.38;0.00:00:00:838;-0.53;0.14;-0.84;0.09261;-0.002243;0.0006107;-0.003546;82.38;-28.37;4.58;3.83;2.51;0.09261;0.00424;0.08837;-10.333;-23.727;-10.537;0.24;-80.23;
2023-05-05 15:42:15.43;0.00:00:00:885;-0.55;0.16;-0.82;0.09252;-0.002484;0.0007349;-0.003719;81.76;-27.57;4.90;4.02;2.80;0.09252;0.004532;0.08799;-10.337;-23.437;-10.556;0.23;-78.82;
2023-05-05 15:42:15.47;0.00:00:00:933;-0.55;0.14;-0.82;0.0924;-0.002493;0.0006431;-0.003698;82.77;-27.58;4.88;4.00;2.79;0.0924;0.004506;0.0879;-10.343;-23.462;-10.560;0.22;-80.14;
2023-05-05 15:42:15.52;0.00:00:00:980;-0.55;0.12;-0.83;0.09243;-0.0024;0.0005434;-0.003596;83.62;-27.81;4.71;3.89;2.66;0.09243;0.004358;0.08808;-10.342;-23.607;-10.551;0.22;-81.41;
2023-05-05 15:42:15.57;0.00:00:01:027;-0.54;0.16;-0.83;0.09262;-0.002379;0.0006882;-0.003641;81.93;-27.89;4.75;3.93;2.67;0.09262;0.004404;0.08822;-10.333;-23.562;-10.545;0.23;-79.30;
2023-05-05 15:42:15.61;0.00:00:01:074;-0.56;0.20;-0.80;0.0924;-0.002542;0.0009053;-0.003657;80.20;-26.79;4.92;3.96;2.92;0.0924;0.004545;0.08785;-10.343;-23.424;-10.562;0.22;-76.10;
2023-05-05 15:42:15.66;0.00:00:01:121;-0.57;0.13;-0.81;0.09257;-0.002542;0.000566;-0.003637;83.72;-27.20;4.83;3.93;2.81;0.09257;0.004473;0.0881;-10.335;-23.494;-10.550;0.22;-81.16;
2023-05-05 15:42:15.71;0.00:00:01:167;-0.56;0.18;-0.80;0.09254;-0.002539;0.0008327;-0.003624;80.92;-26.80;4.87;3.92;2.89;0.09254;0.004502;0.08804;-10.337;-23.466;-10.553;0.22;-77.06;
2023-05-05 15:42:15.76;0.00:00:01:214;-0.53;0.15;-0.83;0.09267;-0.002371;0.0006693;-0.003693;82.12;-28.15;4.79;3.99;2.66;0.09267;0.004439;0.08823;-10.331;-23.527;-10.544;0.23;-79.73;
2023-05-05 15:42:15.80;0.00:00:01:261;-0.55;0.15;-0.82;0.09244;-0.002409;0.0006719;-0.003643;82.21;-27.77;4.78;3.94;2.71;0.09244;0.004419;0.08802;-10.342;-23.547;-10.554;0.23;-79.55;
2023-05-05 15:42:15.85;0.00:00:01:308;-0.55;0.18;-0.81;0.09248;-0.00252;0.0008257;-0.00372;80.93;-27.26;4.94;4.02;2.87;0.09248;0.004568;0.08791;-10.339;-23.403;-10.559;0.22;-77.49;
2023-05-05 15:42:15.90;0.00:00:01:356;-0.56;0.14;-0.82;0.09233;-0.002496;0.0006234;-0.003673;82.99;-27.50;4.86;3.98;2.79;0.09233;0.004485;0.08784;-10.347;-23.483;-10.563;0.22;-80.37;
2023-05-05 15:42:15.94;0.00:00:01:401;-0.56;0.17;-0.81;0.09242;-0.002528;0.0007853;-0.003653;81.37;-27.04;4.88;3.95;2.86;0.09242;0.004511;0.08791;-10.342;-23.457;-10.560;0.22;-77.87;
2023-05-05 15:42:15.99;0.00:00:01:448;-0.55;0.18;-0.82;0.09241;-0.002493;0.0008244;-0.00371;80.85;-27.35;4.92;4.01;2.84;0.09241;0.004545;0.08787;-10.343;-23.425;-10.562;0.23;-77.47;
2023-05-05 15:42:16.04;0.00:00:01:495;-0.55;0.21;-0.81;0.09251;-0.002463;0.0009515;-0.003666;79.44;-27.12;4.88;3.96;2.85;0.09251;0.004518;0.08799;-10.338;-23.450;-10.556;0.23;-75.45;
2023-05-05 15:42:16.08;0.00:00:01:542;-0.56;0.16;-0.82;0.09231;-0.002481;0.0007018;-0.003641;82.10;-27.35;4.83;3.94;2.79;0.09231;0.004462;0.08785;-10.347;-23.505;-10.562;0.22;-79.09;
2023-05-05 15:42:16.15;0.00:00:01:605;-0.56;0.13;-0.82;0.09262;-0.002518;0.000602;-0.003722;83.28;-27.59;4.90;4.02;2.80;0.09262;0.004534;0.08808;-10.333;-23.435;-10.551;0.22;-80.81;
2023-05-05 15:42:16.19;0.00:00:01:651;-0.55;0.17;-0.82;0.09245;-0.002511;0.0007945;-0.003737;81.22;-27.41;4.94;4.04;2.85;0.09245;0.004571;0.08788;-10.341;-23.399;-10.561;0.23;-78.00;
2023-05-05 15:42:16.24;0.00:00:01:698;-0.55;0.18;-0.81;0.09243;-0.002451;0.0007881;-0.003606;81.09;-27.24;4.79;3.90;2.79;0.09243;0.004431;0.088;-10.342;-23.535;-10.555;0.22;-77.67;
2023-05-05 15:42:16.29;0.00:00:01:745;-0.54;0.17;-0.82;0.09242;-0.002427;0.0007397;-0.00368;81.52;-27.71;4.84;3.98;2.74;0.09242;0.004469;0.08795;-10.342;-23.497;-10.557;0.23;-78.63;
2023-05-05 15:42:16.33;0.00:00:01:792;-0.55;0.21;-0.81;0.09252;-0.002416;0.0009052;-0.003571;79.73;-27.07;4.76;3.86;2.79;0.09252;0.004406;0.08812;-10.338;-23.560;-10.549;0.23;-75.77;
2023-05-05 15:42:16.38;0.00:00:01:840;-0.53;0.18;-0.83;0.09249;-0.002324;0.0007877;-0.003598;80.64;-27.85;4.71;3.89;2.65;0.09249;0.004355;0.08814;-10.339;-23.610;-10.548;0.23;-77.65;
